Training softmax regression
input_dim = 784
| Epoch | Train Loss | Train Err | Test Loss | Test Err |
|     0 |    1.58815 |   0.10182 |   1.58450 |  0.09400 |
|     1 |    1.54112 |   0.09448 |   1.53846 |  0.08830 |
|     2 |    1.53006 |   0.09002 |   1.52784 |  0.08600 |
|     3 |    1.52527 |   0.08712 |   1.52354 |  0.08480 |
|     4 |    1.52250 |   0.08478 |   1.52116 |  0.08350 |
|     5 |    1.52064 |   0.08300 |   1.51959 |  0.08170 |
|     6 |    1.51929 |   0.08152 |   1.51835 |  0.08090 |
|     7 |    1.51825 |   0.08072 |   1.51737 |  0.08080 |
|     8 |    1.51740 |   0.07972 |   1.51651 |  0.08060 |
|     9 |    1.51672 |   0.07907 |   1.51578 |  0.08020 |
Execution Time: 56274 milliseconds
