Current directory: /nfsmnt/120090694/CSC4005-2023Fall/project4
NN Sequential
Training two layer neural network w/ 400 hidden units
| Epoch | Train Loss | Train Err | Test Loss | Test Err |
|     0 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     1 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     2 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     3 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     4 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     5 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     6 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     7 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     8 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|     9 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    10 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    11 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    12 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    13 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    14 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    15 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    16 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    17 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    18 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
|    19 |    2.30289 |   0.90128 |   2.30270 |  0.90200 |
Execution Time: 217 milliseconds

